rank,target,region,primary_markets,target_type,score_100,route_service_density,recurring_pm_evidence,owner_succession_clues,epa_refrigerant_capability_evidence,review_reputation,website_sophistication,technician_bench,customer_vertical_fit,emergency_call_burden,acquisition_jv_fit,confirmed_facts,inferred_clues,source_urls,source_date,notes
1,SAMCO / Service & Maintenance Corp,NY/NJ,"Northern NJ; Union/Essex/Morris; restaurant/facility/property-manager portfolios",Family-owned commercial HVAC/R and refrigeration service company,89,5,5,4,4,4,4,4,5,3,5,"Family-owned since 1977; commercial refrigeration repair for Northern NJ; services walk-ins/freezers/reach-ins/ice machines/rooftop refrigeration; custom preventive maintenance contracts; documents visits through a paperless system; no-subcontractor technician model; serves restaurants, distribution facilities and property-management portfolios","Long-tenured family-owned language and owner-transition customer language suggest succession relevance; not confirmed seller intent. Paperless service records would be valuable if real asset-level refrigerant logs exist.","https://www.serviceandmaintenancecorp.com/services/commercial-refrigeration/repair/",2026-06-07,"Best target found for Dan's thesis: recurring PM + documented service records + multi-site commercial customers. Must verify HFC leak-repair/refrigerant tracking workflow and owner dependence."
2,Avalonair,NY/NJ,"NYC; Bronx; Brooklyn; Queens; Manhattan; Westchester",Independent commercial refrigeration/HVAC operator,87,5,5,3,5,3,4,4,5,3,5,"20+ years serving New York; installs/services/repairs walk-ins, ice machines, cold storage, hospital/lab refrigeration, warehouses and commercial kitchens; offers custom maintenance contracts; page lists pressure/temp/control checks, leak check, system report, asset tags, refrigerant charge logged as part of F-Gas compliance package","F-Gas language is European-style but the asset-tag/refrigerant-charge workflow is the clearest public compliance-packaging signal found. Owner/succession not confirmed.","https://www.avalonair.net/refrigeration",2026-06-07,"Strongest compliance/recordkeeping evidence. Diligence question: is F-Gas copy repurposed marketing or an actual US refrigerant log system?"
3,United Service Company,MA/Boston suburbs,"Boston North Shore; Southern NH; Southern Maine",Independent/family commercial refrigeration, HVAC and food-service equipment company,85,4,5,4,4,5,4,4,5,4,5,"Established refrigeration/heating/AC company serving Boston/North Shore/Southern NH since 1953; commercial refrigeration, ice machines, restaurant equipment, custom walk-ins, 24/7 emergency service, preventive maintenance; recent job posting calls it a family-owned business seeking commercial HVAC/R technicians","70+ year family-owned history and active hiring are positive but may mean durable family succession rather than seller intent. Emergency burden is real.","https://www.unitedserv.com/; https://www.ziprecruiter.com/c/United-Service/Job/Commercial-HVAC-R-Technician-SIGNING-BONUS/-in-Boston%2CMA?jid=3add740dce4b7843",2026-06-07,"Best MA target. Need prove refrigeration revenue is separable from HVAC/restaurant equipment and that non-owner tech bench can carry night calls."
4,PRO-TEK,NY/NJ/CT,"Long Island; NYC; Westchester; NJ; Southern CT",Commercial kitchen equipment repair/maintenance company,84,5,5,3,3,4,4,5,5,3,4,"In business since 1979; serves Long Island, NYC, Westchester, NJ and Southern CT; repairs refrigeration, freezers, walk-ins, ice machines and broad commercial kitchen equipment; service contracts referenced in testimonials; authorized by 20+ manufacturers","Likely institutional enough to have technician bench and maintenance contracts; may be too broad/large or private-equity/strategic attractive. Refrigerant-compliance evidence not explicit.","https://www.protekny.com/",2026-06-07,"Great recurring food-service route density, but not pure refrigeration. Diligence must isolate cold-side accounts and refrigerant work."
5,Day & Nite Refrigeration,South Florida,"Miami; Fort Lauderdale; West Palm Beach; hospitality/restaurant/healthcare/retail/stadiums",Commercial refrigeration services operator,83,5,5,2,4,4,5,5,5,4,3,"South Florida commercial refrigeration specialist; 24/7 service; preventive maintenance customers claimed +40% uptime; authorized warranty service; in-house technical training center; works on refrigerators, coolers, freezers, walk-ins, ice machines and racks; serves restaurants, corporate dining, healthcare, hospitality, retail and stadiums","Technician bench appears strong, but brand is sophisticated and may be too large/less mispriced. Owner/succession signal weak.","https://www.wearetheone.com/south-florida-commercial-refrigeration/",2026-06-07,"Excellent operating benchmark and possible strategic/JV partner, less likely first SBA acquisition target."
6,Tech Air HVAC & Refrigeration,South Florida,"South Florida; restaurants; groceries; c-stores; food service",Commercial HVAC/refrigeration contractor,81,5,4,2,4,4,4,4,5,4,4,"Commercial refrigeration page lists walk-ins, reach-ins, display cases, freezer systems, ice machines, commercial service agreements and 24/7 emergency response; serves restaurants, grocery stores, convenience stores and food-service operations","Modern website may mean younger/growth shop; acquisition fit depends on owner age, tech bench, and PM contract base. Refrigerant handling inferred from service scope, not confirmed by EPA 608 statement.","https://techair-hvac.com/",2026-06-07,"Good South Florida source target if service agreements are real. Emergency burden under-2-hour promise may be operationally heavy."
7,Cool Solutions Refrigeration,South Florida,"South Florida; restaurants; medical; beverage; cold rooms",Independent commercial refrigeration specialist,80,4,4,3,4,4,4,4,4,3,4,"Installs/services/repairs all commercial refrigeration brands; services walk-ins/freezers, ice machines, medical freezers, beverage coolers, refrigerant piping, doors/gaskets; provides preventative maintenance","Refrigerant piping and PM language suggest EPA 608 technician need but no explicit cert/refrigerant log evidence. Owner/succession not confirmed.","https://www.coolsolutionsrefrigeration.com/refrigeration",2026-06-07,"Solid pure-play refrigeration profile. Need customer concentration and recurring PM proof."
8,Page Services LLC,CT,"Bridgeport; Fairfield County; commercial refrigeration and ice machines",Small commercial refrigeration service operator,79,4,4,4,4,3,2,3,4,3,5,"Bridgeport CT commercial refrigeration service; service plans automatically provide scheduled maintenance according to equipment needs; services all types of refrigeration units/systems; ice machines are specialty; installs and converts walk-in compressors to outdoor/remote units","Small/dated website and niche technical wording suggest owner-operated acquisition profile; no seller intent or bench confirmed.","https://www.pageserv.com/services",2026-06-07,"Potential small buy/JV profile. Must verify tech bench; likely key-person risk."
9,Temp Assure Heating Air Conditioning & Refrigeration,CT,"Bridgeport; Fairfield County; restaurants; grocers; convenience; food service",Licensed family HVAC/R operator,78,4,4,3,5,4,4,3,4,4,4,"Licensed family business; 4.7 Google/28 reviews shown; commercial refrigeration in Bridgeport/Fairfield County; services walk-ins, reach-ins, prep tables, display cases, ice machines; preventive maintenance; 24/7 emergency service; page states technicians hold EPA 608 certification","Family business and relatively modest review count suggest potential owner-led small target. Broad HVAC may dilute cold-side recurrence.","https://www.tempassureair.com/services/refrigeration/commercial/; https://www.tempassureair.com/services/refrigeration/",2026-06-07,"Best CT public EPA 608 evidence. Need PM contract count and whether owner is only refrigeration expert."
10,A&S Cooling,NY/NJ,"South Jersey; NJ/PA/DE; restaurants; hotels; supermarkets; offices; food service",Commercial HVAC/R and specialty equipment vendor/service company,77,4,5,2,4,4,4,4,5,3,4,"Since 2003; commercial refrigeration, ice machines, walk-ins, rooftop units and building automation; custom preventive maintenance programs with scheduled inspections and priority response; multi-location service contracts welcomed; restaurants/hotels/supermarkets listed","Exclusive Friginox/ZEC vendor status may create valuable specialization but also complicates transfer/vendor risk. South Jersey less core than North NJ/NYC.","https://ascoolinginc.com/commercials.html",2026-06-07,"Interesting NJ commercial route candidate, especially if multi-location contracts exist. Check vendor dependence and territory relevance."
