rank,target,region,primary_markets,target_type,priority_tier,owner_or_entity_clue,why_actionable,next_check,source_note
1,Perfectly Clear Water Filtration,South Florida,"Broward; Palm Beach",Independent filtration/softener service route,A,"Family-owned 30+ years","Best route-book pattern: automatic salt, monthly well maintenance, all-brand service, rebeds, filters, pumps.","Verify active installed systems, recurring revenue mix, non-owner tech bench, CRM/service history.",Existing sprint sources
2,Seacrest Water,South Florida,"Delray; Boca; Boynton; West Palm; Jupiter",Independent filtration/softener specialist,A,"Family-owned since 1975","Dense Palm Beach service area and salt-delivery attach.","Verify installed-base count, salt/filter recurrence, tech bench, succession appetite.",Existing sprint sources
3,Advanced Water Products Inc.,South Florida,"Miami-Dade; Broward; Monroe; Homestead",Independent water treatment company,A,"Family-owned since 1956","Monthly salt/chemical service includes delivery, brine refill, maintenance check, repairs/rentals.","Clarify whether route, business, or JV is realistic; verify monthly service customer count.",Existing sprint sources
4,All Pumps & Water,South Florida,"Jupiter; Palm Beach Gardens; Martin County",Well pump plus filtration/softener operator,A,"Owner Matthew named in testimonial; 20+ years","Technical PBC north/well-water platform with salt delivery, maintenance, emergency repairs.","Verify route density, owner dependence, split of pump emergencies vs recurring maintenance.",Existing sprint sources
5,Water Wizards Filtration,South Florida,"Palm Beach; Broward; Martin; Miami-Dade",Salt subscription and filtration operator,A,"Family-run founders named; 1,500+ customer claim","Explicit salt subscription and customer-count claim make it a route-density screen.","Verify customer count, churn, subscription economics, and whether company is too young/marketing-led.",Existing sprint sources
6,WaterLux,South Florida,"Broward; Palm Beach; Miami-Dade",Filtration/softener/RO/well-water operator,B,"14 years experience claim","Large service-area coverage and broad treatment offering.","Verify whether density exists or service area is too broad; check non-owner tech bench.",Existing sprint sources
7,AquaInstaller,South Florida,Miami-Dade,Salt-only subscription/order page,B,Not verified,"Pure route concept; may be small but clean for salt-route learning.","Verify customer count, route density, equipment/service capability.",Existing sprint sources
8,Seaway Plumbing salt delivery,South Florida,Miami,Plumbing-backed salt delivery,B,"30 trained techs claim","Scheduled salt delivery inside larger plumbing operation; possible carveout.","Assess separability and whether plumbing labor economics swamp the route thesis.",Existing sprint sources
9,The Water Doctor of South Florida,South Florida,South Florida,Water treatment specialist,B,"Family-owned since 1984","Commercial service and salt delivery; long-tenured SFL operator.","Verify density, recurring mix, owner role, and service-area economics.",Existing sprint sources
10,Gold Star Water,South Florida,SFL / Treasure Coast,Water treatment specialist,B,"Family-owned","Monthly maintenance includes salt delivery, filter changes, rebeds, peroxide/chlorine checks.","Verify service plan count, tech bench, and recurring revenue percentage.",Existing sprint sources
11,SoftSprings Water Conditioning,Northern NJ,"Bergen; Morris; Essex; Passaic",Independent conditioning specialist,A,"Since 1960","Automatic scheduled salt delivery, rentals, maintenance; strongest NJ route signal.","Verify customer file, dealer independence, route density, succession appetite.",Existing sprint sources
12,The Jayson Company,New Jersey,North/Central NJ,Water conditioning platform,B,"Family-owned since 1936","Excellent benchmark and long-tenured service platform; may be too large/diversified.","Use as benchmark unless size/ownership suggests a realistic transaction.",Existing sprint sources
13,Advanced Water Softening,Northern NJ,"Morris; Bergen; Essex; Passaic; Sussex",Water softening specialist,B,"Two locations; 450+ makes/models service claim","Salt delivery and broad all-brand service suggests transferable maintenance base.","Verify ownership, customer count, route density, vendor lock-in.",Existing sprint sources
14,A1 Water Conditioning & Solutions,Northern NJ,Northern NJ,Water conditioning / PFAS / well-water,B,"Family-owned since 1985","PFAS/vendor/public-works signal plus well-water/filtration expertise.","Determine whether project-heavy or recurring service-heavy.",Existing sprint sources
15,Westfair Water Systems,NY,Westchester / Putnam,Kinetico dealer,B,"Family-owned; 20+ years","Affluent Westchester market and strong dealer-based installed base.","Dealer-transfer rights are the gating diligence item.",Existing sprint sources
