rank,target,geo,primary_markets,target_type,priority_tier,owner_or_entity_clue,why_actionable,next_check,source_note
1,American Allstate Backflow Specialists,South Florida,"Miami-Dade; Broward; South Palm Beach",Pure-play backflow,A,"Family-owned since 1989; American Allstate Backflow Specialists Inc.","Tri-county pure-play with annual testing, repairs, replacements, and approved-list signal.","Verify device-level renewal database, tester bench, BSI/county portal workflow, owner role, revenue mix.",Existing sprint sources
2,A1 Backflow Service Corp,South Florida,"North Miami-Dade; Broward; Palm Beach",Pure-play backflow,A,"A-1 Backflow Service Corp.; since 1991 claim","Pure-play language says backflow valves are all it does; strong repair/install attach.","Verify legal entity, route density, device count, repair gross margin, non-owner testers.",Existing sprint sources
3,Cape Backflow Systems Inc.,South Florida,"Palm Beach; Broward",Pure-play backflow,A,"President J. William Galvin shown; Cape Backflow Systems Inc.","Claims complete valve history retention, the exact renewal-database proof point.","Verify valve-history database export, annual renewal cadence, tester certifications, seller transition.",Existing sprint sources
4,Everything Flows Inc.,South Florida,"Broward; Palm Beach",Plumbing plus backflow,A,"Family-owned/operated; Everything Flows Inc.","Backflow testing, recertification, repair, replacement inside dense SFL market.","Determine whether backflow book is separable from broader plumbing revenue.",Existing sprint sources
5,Boston Backflow LLC,Massachusetts,"Boston metro; MA; NH; ME; VT; RI",Pure-play backflow,A,"Boston Backflow LLC; Haverhill MA","Backflow-only positioning, service-contract language, MassDEP certification claim.","Verify MassDEP roster presence, actual Boston density, recurring service contracts, non-owner bench.",Existing sprint sources
6,Abacus Backflow Preventer Testing Inc.,Connecticut,"Hartford; West Hartford; Avon; statewide CT",Pure-play backflow,A,"Founded 2004; Avon CT office","CT annual testing language plus testing/sales/service/install gives route-book candidate.","Verify CT eLicense roster, commercial account density, repair attach, owner dependence.",Existing sprint sources
7,Backflows by Lasseter,South Florida,"Miami-Dade; Broward",Backflow division,B,"Division of Lasseter Plumbing Company; CFC 041696","County-submission workflow and 50+ year family plumbing lineage.","Assess carveout/JV possibility; likely not clean whole-company acquisition.",Existing sprint sources
8,Backflow Certifications,South Florida,"Miami-Dade; Broward; Palm Beach; Monroe",Specialist,B,"Legal entity not confirmed","Tri-county specialist positioning and annual-testing language.","Confirm legal entity, owner, tester bench, device count, customer list quality.",Existing sprint sources
9,Amy's Plumbing Corp,South Florida,Broward,Plumbing plus backflow,B,"AMY'S PLUMBING CORP","Broward filing workflow, online scheduling, repair support.","Determine backflow book separability and whether plumbing mix overwhelms route thesis.",Existing sprint sources
10,NJ Pro Solutions,New Jersey,Statewide NJ,Backflow-led compliance specialist,B,"Entity not confirmed","Annual and quarterly NJ testing across domestic/fire/irrigation/isolation devices.","Verify NJ credential/physical-connection workflow, customer concentration, route density.",Existing sprint sources
11,All American Backflow,South Florida,"Miami-Dade; Broward; Palm Beach",Specialist,B,"All American Backflow LLC indicated","Tri-county backflow provider language; good geography.","Verify entity, owner, certified tester bench, annual renewal files.",Existing sprint sources
12,American Fire Protection LLC,Connecticut,Connecticut,Fire plus backflow,B,"American Fire Protection LLC","Testing/repair/replacement across CT; certification bench may be useful.","Likely fire company, not pure route book; screen only if backflow customer file is discrete.",Existing sprint sources
13,One Direction Backflow,New Jersey,Northern NJ,Young specialist,C,"Founder/operator signal from prior pass","Owner-operated specialist could become operator-partner or tuck-in.","Likely too young/small; verify customer count and capacity before any outreach.",Existing sprint sources
